-------- MisiSeqMS Start -------
File:C:\Users\patch\OneDrive\Documents\VisualStudio2022\Projects\MidiSeqMS\MusicStudioSongFiles\MusicStudio\PRELUDE.SNG has 2714 Bytes
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
==== PROCESS->Added 4 Objects
---- PLAY QUEUE: Total Objects:4
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:23 State:2  *Ticks:4
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:22 State:2  *Ticks:5
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:21 State:2  *Ticks:6
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:20 State:2  *Ticks:7
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:19 State:2  *Ticks:8
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:18 State:2  *Ticks:9
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:17 State:2  *Ticks:10
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:16 State:2  *Ticks:11
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:15 State:2  *Ticks:12
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:14 State:2  *Ticks:13
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:13 State:2  *Ticks:14
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:12 State:2  *Ticks:15
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:11 State:2  *Ticks:16
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:10 State:2  *Ticks:17
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:9 State:2  *Ticks:18
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:8 State:2  *Ticks:19
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:7 State:2  *Ticks:20
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:6 State:2  *Ticks:21
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:5 State:2  *Ticks:22
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:4 State:2  *Ticks:23
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:3 State:2  *Ticks:24
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:2 State:3  *Ticks:25
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:1 State:3  *Ticks:26
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:4 Tick:0 State:4  *Ticks:27
   ---- Note Timed Out: Pitch:67 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:11 State:2  *Ticks:28
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:10 State:2  *Ticks:29
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:9 State:2  *Ticks:30
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:8 State:2  *Ticks:31
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:7 State:2  *Ticks:32
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:6 State:2  *Ticks:33
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:5 State:2  *Ticks:34
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:4 State:2  *Ticks:35
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:3 State:2  *Ticks:36
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:2 State:3  *Ticks:37
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:1 State:3  *Ticks:38
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:5 Tick:0 State:4  *Ticks:39
   ---- Note Timed Out: Pitch:72 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:11 State:2  *Ticks:40
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:10 State:2  *Ticks:41
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:9 State:2  *Ticks:42
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:8 State:2  *Ticks:43
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:7 State:2  *Ticks:44
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:6 State:2  *Ticks:45
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:5 State:2  *Ticks:46
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:4 State:2  *Ticks:47
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:3 State:2  *Ticks:48
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:2 State:3  *Ticks:49
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:1 State:3  *Ticks:50
---- PLAY QUEUE: Total Objects:1
    Note:71 EVENT:6 Tick:0 State:4  *Ticks:51
   ---- Note Timed Out: Pitch:71 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:23 State:2  *Ticks:52
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:22 State:2  *Ticks:53
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:21 State:2  *Ticks:54
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:20 State:2  *Ticks:55
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:19 State:2  *Ticks:56
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:18 State:2  *Ticks:57
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:17 State:2  *Ticks:58
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:16 State:2  *Ticks:59
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:15 State:2  *Ticks:60
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:14 State:2  *Ticks:61
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:13 State:2  *Ticks:62
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:12 State:2  *Ticks:63
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:11 State:2  *Ticks:64
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:10 State:2  *Ticks:65
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:9 State:2  *Ticks:66
